OrderID;ProductID;CustomerID;StoreID;Quantity;OrderDate;IMPORT COLUMN
36;17;24;3;20;2022-10-27;(36, 17, 24, 3, 20, '2022-10-27'),
37;72;15;1;17;2019-08-11;(37, 72, 15, 1, 17, '2019-08-11'),
38;73;45;2;15;2021-08-25;(38, 73, 45, 2, 15, '2021-08-25'),
39;96;27;3;12;2020-01-25;(39, 96, 27, 3, 12, '2020-01-25'),
40;75;25;2;17;2019-04-29;(40, 75, 25, 2, 17, '2019-04-29'),
41;74;17;3;13;2021-10-22;(41, 74, 17, 3, 13, '2021-10-22'),
42;70;6;1;3;2020-02-19;(42, 70, 6, 1, 3, '2020-02-19'),
43;7;30;3;22;2022-05-08;(43, 7, 30, 3, 22, '2022-05-08'),
44;19;41;3;9;2022-10-04;(44, 19, 41, 3, 9, '2022-10-04'),
45;23;31;3;30;2019-09-23;(45, 23, 31, 3, 30, '2019-09-23'),
46;75;19;3;13;2019-07-14;(46, 75, 19, 3, 13, '2019-07-14'),
47;82;33;1;4;2021-03-12;(47, 82, 33, 1, 4, '2021-03-12'),
48;22;4;2;24;2021-05-31;(48, 22, 4, 2, 24, '2021-05-31'),
49;2;15;3;1;2022-01-10;(49, 2, 15, 3, 1, '2022-01-10'),
50;65;44;1;11;2021-03-10;(50, 65, 44, 1, 11, '2021-03-10'),
51;59;22;3;24;2020-09-15;(51, 59, 22, 3, 24, '2020-09-15'),
52;32;37;1;18;2020-09-25;(52, 32, 37, 1, 18, '2020-09-25'),
53;22;5;1;14;2019-11-29;(53, 22, 5, 1, 14, '2019-11-29'),
54;15;9;3;24;2022-10-17;(54, 15, 9, 3, 24, '2022-10-17'),
55;59;24;2;9;2021-02-04;(55, 59, 24, 2, 9, '2021-02-04'),
56;30;41;2;14;2019-12-01;(56, 30, 41, 2, 14, '2019-12-01'),
57;56;3;2;25;2020-02-16;(57, 56, 3, 2, 25, '2020-02-16'),
58;58;40;3;23;2021-04-27;(58, 58, 40, 3, 23, '2021-04-27'),
59;28;2;3;19;2022-06-20;(59, 28, 2, 3, 19, '2022-06-20'),
60;98;48;3;12;2019-06-20;(60, 98, 48, 3, 12, '2019-06-20'),
61;88;34;3;22;2021-10-16;(61, 88, 34, 3, 22, '2021-10-16'),
62;45;9;1;19;2020-09-18;(62, 45, 9, 1, 19, '2020-09-18'),
63;69;26;3;30;2020-08-10;(63, 69, 26, 3, 30, '2020-08-10'),
64;55;7;3;4;2020-07-29;(64, 55, 7, 3, 4, '2020-07-29'),
65;80;44;1;14;2019-03-13;(65, 80, 44, 1, 14, '2019-03-13'),
66;98;49;1;25;2020-03-12;(66, 98, 49, 1, 25, '2020-03-12'),
67;24;45;1;9;2022-11-06;(67, 24, 45, 1, 9, '2022-11-06'),
68;69;21;3;25;2020-07-09;(68, 69, 21, 3, 25, '2020-07-09'),
69;91;19;2;18;2022-10-07;(69, 91, 19, 2, 18, '2022-10-07'),
70;81;45;1;3;2020-12-23;(70, 81, 45, 1, 3, '2020-12-23'),
71;19;1;2;7;2022-05-07;(71, 19, 1, 2, 7, '2022-05-07'),
72;48;2;1;24;2020-06-27;(72, 48, 2, 1, 24, '2020-06-27'),
73;83;21;2;11;2021-06-08;(73, 83, 21, 2, 11, '2021-06-08'),
74;36;30;1;19;2020-07-30;(74, 36, 30, 1, 19, '2020-07-30'),
75;12;33;3;7;2021-12-23;(75, 12, 33, 3, 7, '2021-12-23'),
76;21;35;1;24;2021-09-24;(76, 21, 35, 1, 24, '2021-09-24'),
77;42;12;3;28;2019-08-31;(77, 42, 12, 3, 28, '2019-08-31'),
78;77;21;2;14;2022-05-09;(78, 77, 21, 2, 14, '2022-05-09'),
79;46;17;1;6;2019-08-11;(79, 46, 17, 1, 6, '2019-08-11'),
80;51;49;1;18;2019-07-09;(80, 51, 49, 1, 18, '2019-07-09'),
81;88;32;1;22;2022-01-06;(81, 88, 32, 1, 22, '2022-01-06'),
82;80;48;2;30;2019-11-26;(82, 80, 48, 2, 30, '2019-11-26'),
83;74;50;1;17;2019-03-06;(83, 74, 50, 1, 17, '2019-03-06'),
84;84;32;1;23;2021-03-29;(84, 84, 32, 1, 23, '2021-03-29'),
85;39;19;2;2;2022-09-10;(85, 39, 19, 2, 2, '2022-09-10'),
86;11;40;2;19;2020-10-28;(86, 11, 40, 2, 19, '2020-10-28'),
87;32;3;3;15;2022-01-28;(87, 32, 3, 3, 15, '2022-01-28'),
88;3;27;3;15;2021-02-03;(88, 3, 27, 3, 15, '2021-02-03'),
89;77;25;3;12;2022-10-06;(89, 77, 25, 3, 12, '2022-10-06'),
90;37;27;3;10;2020-12-27;(90, 37, 27, 3, 10, '2020-12-27'),
91;37;7;1;2;2019-01-17;(91, 37, 7, 1, 2, '2019-01-17'),
92;28;41;2;20;2022-08-13;(92, 28, 41, 2, 20, '2022-08-13'),
93;29;21;1;22;2021-04-08;(93, 29, 21, 1, 22, '2021-04-08'),
94;18;7;3;14;2021-09-15;(94, 18, 7, 3, 14, '2021-09-15'),
95;31;48;3;12;2020-10-04;(95, 31, 48, 3, 12, '2020-10-04'),
96;91;23;1;12;2019-11-21;(96, 91, 23, 1, 12, '2019-11-21'),
97;94;27;3;7;2022-11-05;(97, 94, 27, 3, 7, '2022-11-05'),
98;46;44;3;6;2021-08-01;(98, 46, 44, 3, 6, '2021-08-01'),
99;81;14;1;14;2022-07-14;(99, 81, 14, 1, 14, '2022-07-14'),
100;95;16;2;15;2020-05-25;(100, 95, 16, 2, 15, '2020-05-25'),
101;2;10;3;9;2021-04-11;(101, 2, 10, 3, 9, '2021-04-11'),
102;84;12;3;7;2020-08-03;(102, 84, 12, 3, 7, '2020-08-03'),
103;51;35;1;2;2021-04-30;(103, 51, 35, 1, 2, '2021-04-30'),
104;33;46;3;6;2019-01-18;(104, 33, 46, 3, 6, '2019-01-18'),
105;39;27;1;3;2021-01-15;(105, 39, 27, 1, 3, '2021-01-15'),
106;29;17;3;2;2022-11-24;(106, 29, 17, 3, 2, '2022-11-24'),
107;61;27;3;12;2019-02-02;(107, 61, 27, 3, 12, '2019-02-02'),
108;5;36;2;27;2020-02-21;(108, 5, 36, 2, 27, '2020-02-21'),
109;43;37;1;29;2019-09-28;(109, 43, 37, 1, 29, '2019-09-28'),
110;10;3;2;27;2020-01-08;(110, 10, 3, 2, 27, '2020-01-08'),
111;71;36;2;10;2019-03-08;(111, 71, 36, 2, 10, '2019-03-08'),
112;52;15;2;24;2019-12-18;(112, 52, 15, 2, 24, '2019-12-18'),
113;49;42;2;1;2020-10-28;(113, 49, 42, 2, 1, '2020-10-28'),
114;61;11;3;8;2022-05-18;(114, 61, 11, 3, 8, '2022-05-18'),
115;80;50;1;29;2020-01-30;(115, 80, 50, 1, 29, '2020-01-30'),
116;26;18;1;6;2020-09-11;(116, 26, 18, 1, 6, '2020-09-11'),
117;94;49;3;25;2022-01-20;(117, 94, 49, 3, 25, '2022-01-20'),
118;87;49;1;25;2020-06-25;(118, 87, 49, 1, 25, '2020-06-25'),
119;20;1;1;24;2019-03-26;(119, 20, 1, 1, 24, '2019-03-26'),
120;94;46;2;24;2019-10-03;(120, 94, 46, 2, 24, '2019-10-03'),
121;43;45;2;7;2020-01-11;(121, 43, 45, 2, 7, '2020-01-11'),
122;95;39;3;7;2022-03-05;(122, 95, 39, 3, 7, '2022-03-05'),
123;1;9;3;20;2019-11-27;(123, 1, 9, 3, 20, '2019-11-27'),
124;69;10;3;3;2022-08-01;(124, 69, 10, 3, 3, '2022-08-01'),
125;22;35;3;2;2019-10-07;(125, 22, 35, 3, 2, '2019-10-07'),
126;68;41;3;9;2019-09-18;(126, 68, 41, 3, 9, '2019-09-18'),
127;58;35;1;27;2020-09-15;(127, 58, 35, 1, 27, '2020-09-15'),
128;10;28;1;23;2022-03-11;(128, 10, 28, 1, 23, '2022-03-11'),
129;50;35;1;12;2022-06-01;(129, 50, 35, 1, 12, '2022-06-01'),
130;34;39;3;5;2020-06-13;(130, 34, 39, 3, 5, '2020-06-13'),
131;65;40;2;10;2019-04-21;(131, 65, 40, 2, 10, '2019-04-21'),
132;39;40;3;12;2020-02-25;(132, 39, 40, 3, 12, '2020-02-25'),
133;2;45;3;26;2020-02-01;(133, 2, 45, 3, 26, '2020-02-01'),
134;89;25;1;28;2020-11-26;(134, 89, 25, 1, 28, '2020-11-26'),
135;13;42;3;5;2022-11-16;(135, 13, 42, 3, 5, '2022-11-16'),
136;67;33;3;16;2019-03-09;(136, 67, 33, 3, 16, '2019-03-09'),
137;91;3;2;26;2019-01-20;(137, 91, 3, 2, 26, '2019-01-20'),
138;70;29;2;27;2021-03-11;(138, 70, 29, 2, 27, '2021-03-11'),
139;7;21;1;10;2021-10-24;(139, 7, 21, 1, 10, '2021-10-24'),
140;97;3;2;15;2019-04-08;(140, 97, 3, 2, 15, '2019-04-08'),
141;45;38;1;29;2020-12-17;(141, 45, 38, 1, 29, '2020-12-17'),
142;49;24;1;25;2021-02-01;(142, 49, 24, 1, 25, '2021-02-01'),
143;11;40;2;7;2021-11-10;(143, 11, 40, 2, 7, '2021-11-10'),
144;68;15;2;7;2019-01-31;(144, 68, 15, 2, 7, '2019-01-31'),
145;96;37;2;19;2020-04-06;(145, 96, 37, 2, 19, '2020-04-06'),
146;93;40;1;20;2021-03-08;(146, 93, 40, 1, 20, '2021-03-08'),
147;61;43;1;13;2019-01-18;(147, 61, 43, 1, 13, '2019-01-18'),
148;46;4;3;30;2019-07-02;(148, 46, 4, 3, 30, '2019-07-02'),
149;7;23;1;1;2019-02-21;(149, 7, 23, 1, 1, '2019-02-21'),
150;77;50;3;26;2022-06-30;(150, 77, 50, 3, 26, '2022-06-30'),
151;29;20;3;29;2022-06-04;(151, 29, 20, 3, 29, '2022-06-04'),
152;58;23;3;30;2021-06-27;(152, 58, 23, 3, 30, '2021-06-27'),
153;30;8;3;19;2022-03-09;(153, 30, 8, 3, 19, '2022-03-09'),
154;45;4;1;28;2019-08-15;(154, 45, 4, 1, 28, '2019-08-15'),
155;64;44;1;9;2020-04-09;(155, 64, 44, 1, 9, '2020-04-09'),
156;34;46;2;8;2020-01-07;(156, 34, 46, 2, 8, '2020-01-07'),
157;26;4;1;3;2020-06-11;(157, 26, 4, 1, 3, '2020-06-11'),
158;19;50;3;6;2022-08-17;(158, 19, 50, 3, 6, '2022-08-17'),
159;94;42;1;23;2021-12-23;(159, 94, 42, 1, 23, '2021-12-23'),
160;18;49;3;4;2019-05-09;(160, 18, 49, 3, 4, '2019-05-09'),
161;94;3;3;17;2019-04-21;(161, 94, 3, 3, 17, '2019-04-21'),
162;86;46;3;13;2020-02-08;(162, 86, 46, 3, 13, '2020-02-08'),
163;50;29;2;17;2019-02-23;(163, 50, 29, 2, 17, '2019-02-23'),
164;6;3;3;13;2022-05-27;(164, 6, 3, 3, 13, '2022-05-27'),
165;17;44;1;15;2021-09-10;(165, 17, 44, 1, 15, '2021-09-10'),
166;44;1;3;28;2022-01-28;(166, 44, 1, 3, 28, '2022-01-28'),
167;61;6;1;13;2020-02-16;(167, 61, 6, 1, 13, '2020-02-16'),
168;65;46;3;4;2019-03-16;(168, 65, 46, 3, 4, '2019-03-16'),
169;27;27;1;13;2019-03-23;(169, 27, 27, 1, 13, '2019-03-23'),
170;94;27;1;20;2020-03-14;(170, 94, 27, 1, 20, '2020-03-14'),
171;23;32;1;26;2019-02-17;(171, 23, 32, 1, 26, '2019-02-17'),
172;87;50;2;22;2021-10-17;(172, 87, 50, 2, 22, '2021-10-17'),
173;17;26;3;3;2020-08-29;(173, 17, 26, 3, 3, '2020-08-29'),
174;89;14;3;11;2020-01-04;(174, 89, 14, 3, 11, '2020-01-04'),
175;34;22;3;21;2021-11-19;(175, 34, 22, 3, 21, '2021-11-19'),
176;95;49;2;4;2022-09-15;(176, 95, 49, 2, 4, '2022-09-15'),
177;31;17;3;21;2019-04-21;(177, 31, 17, 3, 21, '2019-04-21'),
178;71;46;1;6;2020-04-03;(178, 71, 46, 1, 6, '2020-04-03'),
179;22;7;2;30;2020-09-01;(179, 22, 7, 2, 30, '2020-09-01'),
180;41;1;1;12;2022-04-24;(180, 41, 1, 1, 12, '2022-04-24'),
181;39;13;2;16;2021-10-10;(181, 39, 13, 2, 16, '2021-10-10'),
182;19;50;3;12;2022-10-11;(182, 19, 50, 3, 12, '2022-10-11'),
183;69;29;1;10;2021-12-20;(183, 69, 29, 1, 10, '2021-12-20'),
184;74;7;3;17;2022-10-25;(184, 74, 7, 3, 17, '2022-10-25'),
185;47;12;1;6;2022-08-16;(185, 47, 12, 1, 6, '2022-08-16'),
186;98;4;2;28;2021-07-19;(186, 98, 4, 2, 28, '2021-07-19'),
187;97;5;3;25;2020-12-20;(187, 97, 5, 3, 25, '2020-12-20'),
188;87;24;3;15;2019-10-06;(188, 87, 24, 3, 15, '2019-10-06'),
189;27;42;3;21;2022-10-20;(189, 27, 42, 3, 21, '2022-10-20'),
190;93;38;2;4;2020-02-10;(190, 93, 38, 2, 4, '2020-02-10'),
191;79;25;2;24;2020-10-16;(191, 79, 25, 2, 24, '2020-10-16'),
192;73;39;2;10;2019-01-23;(192, 73, 39, 2, 10, '2019-01-23'),
193;21;44;2;30;2019-04-19;(193, 21, 44, 2, 30, '2019-04-19'),
194;92;45;2;14;2019-04-15;(194, 92, 45, 2, 14, '2019-04-15'),
195;64;28;3;3;2021-12-24;(195, 64, 28, 3, 3, '2021-12-24'),
196;11;48;1;21;2021-07-25;(196, 11, 48, 1, 21, '2021-07-25'),
197;49;30;1;14;2022-09-06;(197, 49, 30, 1, 14, '2022-09-06'),
198;20;6;3;15;2020-05-08;(198, 20, 6, 3, 15, '2020-05-08'),
199;86;10;3;13;2019-02-14;(199, 86, 10, 3, 13, '2019-02-14'),
200;11;39;1;11;2019-07-14;(200, 11, 39, 1, 11, '2019-07-14'),
201;59;33;1;4;2020-10-17;(201, 59, 33, 1, 4, '2020-10-17'),
202;38;18;1;15;2021-02-07;(202, 38, 18, 1, 15, '2021-02-07'),
203;53;40;2;2;2020-10-20;(203, 53, 40, 2, 2, '2020-10-20'),
204;45;41;2;6;2019-04-23;(204, 45, 41, 2, 6, '2019-04-23'),
205;92;19;1;22;2020-05-10;(205, 92, 19, 1, 22, '2020-05-10'),
206;63;13;2;10;2022-08-08;(206, 63, 13, 2, 10, '2022-08-08'),
207;15;21;2;3;2021-12-09;(207, 15, 21, 2, 3, '2021-12-09'),
208;54;32;1;13;2019-08-06;(208, 54, 32, 1, 13, '2019-08-06'),
209;9;37;3;10;2020-11-30;(209, 9, 37, 3, 10, '2020-11-30'),
210;96;43;2;12;2019-01-30;(210, 96, 43, 2, 12, '2019-01-30'),
211;19;34;1;6;2020-02-27;(211, 19, 34, 1, 6, '2020-02-27'),
212;32;36;2;16;2022-11-13;(212, 32, 36, 2, 16, '2022-11-13'),
213;82;28;2;18;2019-12-15;(213, 82, 28, 2, 18, '2019-12-15'),
214;22;30;3;12;2022-11-02;(214, 22, 30, 3, 12, '2022-11-02'),
215;95;4;1;28;2022-01-21;(215, 95, 4, 1, 28, '2022-01-21'),
216;83;5;2;23;2020-08-12;(216, 83, 5, 2, 23, '2020-08-12'),
217;8;27;3;6;2022-03-24;(217, 8, 27, 3, 6, '2022-03-24'),
218;68;45;2;22;2021-11-10;(218, 68, 45, 2, 22, '2021-11-10'),
219;43;31;3;1;2022-04-23;(219, 43, 31, 3, 1, '2022-04-23'),
220;14;12;3;21;2022-11-25;(220, 14, 12, 3, 21, '2022-11-25'),
221;29;45;3;25;2020-12-01;(221, 29, 45, 3, 25, '2020-12-01'),
222;44;35;2;16;2021-08-26;(222, 44, 35, 2, 16, '2021-08-26'),
223;97;23;3;1;2022-08-09;(223, 97, 23, 3, 1, '2022-08-09'),
224;7;19;3;7;2019-10-31;(224, 7, 19, 3, 7, '2019-10-31'),
225;55;46;1;2;2020-01-10;(225, 55, 46, 1, 2, '2020-01-10'),
226;84;43;3;3;2019-08-08;(226, 84, 43, 3, 3, '2019-08-08'),
227;13;16;1;9;2022-08-20;(227, 13, 16, 1, 9, '2022-08-20'),
228;16;27;2;14;2021-11-28;(228, 16, 27, 2, 14, '2021-11-28'),
229;3;5;2;3;2019-01-23;(229, 3, 5, 2, 3, '2019-01-23'),
230;24;49;2;12;2022-09-21;(230, 24, 49, 2, 12, '2022-09-21'),
231;97;43;3;11;2022-10-11;(231, 97, 43, 3, 11, '2022-10-11'),
232;64;6;2;9;2020-11-24;(232, 64, 6, 2, 9, '2020-11-24'),
233;27;3;3;26;2022-11-29;(233, 27, 3, 3, 26, '2022-11-29'),
234;5;6;1;11;2020-09-17;(234, 5, 6, 1, 11, '2020-09-17'),
235;27;40;1;7;2019-10-22;(235, 27, 40, 1, 7, '2019-10-22'),
236;21;1;2;27;2020-07-07;(236, 21, 1, 2, 27, '2020-07-07'),
237;59;16;3;22;2022-06-14;(237, 59, 16, 3, 22, '2022-06-14'),
238;47;25;3;7;2021-02-24;(238, 47, 25, 3, 7, '2021-02-24'),
239;7;1;1;22;2022-07-05;(239, 7, 1, 1, 22, '2022-07-05'),
240;27;45;3;15;2022-09-08;(240, 27, 45, 3, 15, '2022-09-08'),
241;2;4;1;14;2020-05-02;(241, 2, 4, 1, 14, '2020-05-02'),
242;48;11;3;9;2020-04-25;(242, 48, 11, 3, 9, '2020-04-25'),
243;1;24;3;6;2022-05-15;(243, 1, 24, 3, 6, '2022-05-15'),
244;76;5;1;4;2019-02-08;(244, 76, 5, 1, 4, '2019-02-08'),
245;49;10;2;16;2019-04-02;(245, 49, 10, 2, 16, '2019-04-02'),
246;14;35;2;22;2020-01-28;(246, 14, 35, 2, 22, '2020-01-28'),
247;79;33;3;19;2022-07-31;(247, 79, 33, 3, 19, '2022-07-31'),
248;40;19;3;21;2021-12-26;(248, 40, 19, 3, 21, '2021-12-26'),
249;61;3;1;21;2022-01-06;(249, 61, 3, 1, 21, '2022-01-06'),
250;91;18;3;8;2019-10-27;(250, 91, 18, 3, 8, '2019-10-27'),
251;17;17;1;22;2019-07-31;(251, 17, 17, 1, 22, '2019-07-31'),
252;70;47;3;29;2021-12-09;(252, 70, 47, 3, 29, '2021-12-09'),
253;29;25;2;2;2021-11-04;(253, 29, 25, 2, 2, '2021-11-04'),
254;63;11;3;15;2020-09-10;(254, 63, 11, 3, 15, '2020-09-10'),
255;82;16;3;5;2019-09-27;(255, 82, 16, 3, 5, '2019-09-27'),
256;32;22;1;18;2021-11-26;(256, 32, 22, 1, 18, '2021-11-26'),
257;15;29;1;20;2022-07-03;(257, 15, 29, 1, 20, '2022-07-03'),
258;17;39;3;4;2021-04-23;(258, 17, 39, 3, 4, '2021-04-23'),
259;49;17;2;8;2019-10-15;(259, 49, 17, 2, 8, '2019-10-15'),
260;41;48;3;15;2021-05-13;(260, 41, 48, 3, 15, '2021-05-13'),
261;46;44;2;12;2020-10-07;(261, 46, 44, 2, 12, '2020-10-07'),
262;91;42;1;19;2019-01-25;(262, 91, 42, 1, 19, '2019-01-25'),
263;32;24;2;4;2022-11-17;(263, 32, 24, 2, 4, '2022-11-17'),
264;5;29;2;23;2020-11-06;(264, 5, 29, 2, 23, '2020-11-06'),
265;12;26;2;11;2022-07-13;(265, 12, 26, 2, 11, '2022-07-13'),
266;29;46;3;17;2019-07-19;(266, 29, 46, 3, 17, '2019-07-19'),
267;41;3;1;16;2020-04-26;(267, 41, 3, 1, 16, '2020-04-26'),
268;51;31;1;5;2022-02-06;(268, 51, 31, 1, 5, '2022-02-06'),
269;11;2;1;8;2022-02-08;(269, 11, 2, 1, 8, '2022-02-08'),
270;9;20;3;1;2021-01-01;(270, 9, 20, 3, 1, '2021-01-01'),
271;32;49;3;1;2019-04-20;(271, 32, 49, 3, 1, '2019-04-20'),
272;88;49;1;24;2020-06-14;(272, 88, 49, 1, 24, '2020-06-14'),
273;3;18;2;28;2021-08-17;(273, 3, 18, 2, 28, '2021-08-17'),
274;65;33;3;28;2019-10-30;(274, 65, 33, 3, 28, '2019-10-30'),
275;69;8;2;26;2020-08-28;(275, 69, 8, 2, 26, '2020-08-28'),
276;80;25;1;28;2019-03-07;(276, 80, 25, 1, 28, '2019-03-07'),
277;30;38;3;30;2019-03-15;(277, 30, 38, 3, 30, '2019-03-15'),
278;31;27;1;27;2020-01-25;(278, 31, 27, 1, 27, '2020-01-25'),
279;56;21;1;24;2020-07-24;(279, 56, 21, 1, 24, '2020-07-24'),
280;50;25;3;5;2020-01-03;(280, 50, 25, 3, 5, '2020-01-03'),
281;23;2;1;11;2019-08-07;(281, 23, 2, 1, 11, '2019-08-07'),
282;95;36;3;14;2020-10-24;(282, 95, 36, 3, 14, '2020-10-24'),
283;84;24;1;19;2020-09-02;(283, 84, 24, 1, 19, '2020-09-02'),
284;4;40;3;24;2020-11-25;(284, 4, 40, 3, 24, '2020-11-25'),
285;33;24;3;25;2019-05-27;(285, 33, 24, 3, 25, '2019-05-27'),
286;68;43;1;16;2019-07-20;(286, 68, 43, 1, 16, '2019-07-20'),
287;96;36;2;27;2019-11-09;(287, 96, 36, 2, 27, '2019-11-09'),
288;67;10;1;15;2022-10-15;(288, 67, 10, 1, 15, '2022-10-15'),
289;78;42;3;24;2022-10-21;(289, 78, 42, 3, 24, '2022-10-21'),
290;85;27;2;22;2021-12-05;(290, 85, 27, 2, 22, '2021-12-05'),
291;88;27;2;4;2019-10-07;(291, 88, 27, 2, 4, '2019-10-07'),
292;6;41;2;2;2021-10-24;(292, 6, 41, 2, 2, '2021-10-24'),
293;68;12;1;10;2020-12-24;(293, 68, 12, 1, 10, '2020-12-24'),
294;21;17;2;6;2020-06-20;(294, 21, 17, 2, 6, '2020-06-20'),
295;26;50;1;4;2019-09-09;(295, 26, 50, 1, 4, '2019-09-09'),
296;16;3;3;10;2022-07-22;(296, 16, 3, 3, 10, '2022-07-22'),
297;42;38;3;25;2022-10-20;(297, 42, 38, 3, 25, '2022-10-20'),
298;17;29;2;25;2019-06-29;(298, 17, 29, 2, 25, '2019-06-29'),
299;11;50;3;5;2022-09-13;(299, 11, 50, 3, 5, '2022-09-13'),
300;64;29;2;22;2019-05-08;(300, 64, 29, 2, 22, '2019-05-08'),
301;78;46;1;14;2019-11-10;(301, 78, 46, 1, 14, '2019-11-10'),
302;22;48;3;1;2022-01-01;(302, 22, 48, 3, 1, '2022-01-01'),
303;80;41;2;27;2019-02-06;(303, 80, 41, 2, 27, '2019-02-06'),
304;57;39;1;26;2019-11-26;(304, 57, 39, 1, 26, '2019-11-26'),
305;45;26;1;16;2021-06-09;(305, 45, 26, 1, 16, '2021-06-09'),
306;41;38;3;6;2020-01-21;(306, 41, 38, 3, 6, '2020-01-21'),
307;88;18;3;30;2022-05-23;(307, 88, 18, 3, 30, '2022-05-23'),
308;30;48;3;5;2022-01-07;(308, 30, 48, 3, 5, '2022-01-07'),
309;26;38;2;18;2020-11-04;(309, 26, 38, 2, 18, '2020-11-04'),
310;84;38;2;6;2021-12-31;(310, 84, 38, 2, 6, '2021-12-31'),
311;72;5;3;3;2021-09-01;(311, 72, 5, 3, 3, '2021-09-01'),
312;29;17;3;26;2022-02-21;(312, 29, 17, 3, 26, '2022-02-21'),
313;37;30;1;26;2019-06-06;(313, 37, 30, 1, 26, '2019-06-06'),
314;42;48;1;27;2020-06-08;(314, 42, 48, 1, 27, '2020-06-08'),
315;16;5;1;9;2019-05-04;(315, 16, 5, 1, 9, '2019-05-04'),
316;3;41;2;30;2021-03-17;(316, 3, 41, 2, 30, '2021-03-17'),
317;68;20;1;19;2022-04-30;(317, 68, 20, 1, 19, '2022-04-30'),
318;10;31;2;16;2020-03-25;(318, 10, 31, 2, 16, '2020-03-25'),
319;71;6;1;10;2020-06-21;(319, 71, 6, 1, 10, '2020-06-21'),
320;25;41;1;7;2020-07-27;(320, 25, 41, 1, 7, '2020-07-27'),
321;88;43;2;8;2020-12-04;(321, 88, 43, 2, 8, '2020-12-04'),
322;17;6;1;25;2019-06-08;(322, 17, 6, 1, 25, '2019-06-08'),
323;23;17;1;12;2022-01-29;(323, 23, 17, 1, 12, '2022-01-29'),
324;68;6;2;16;2021-12-12;(324, 68, 6, 2, 16, '2021-12-12'),
325;43;24;2;15;2019-11-12;(325, 43, 24, 2, 15, '2019-11-12'),
326;8;14;1;2;2019-08-25;(326, 8, 14, 1, 2, '2019-08-25'),
327;98;3;1;20;2022-08-30;(327, 98, 3, 1, 20, '2022-08-30'),
328;76;10;2;5;2022-04-17;(328, 76, 10, 2, 5, '2022-04-17'),
329;41;39;3;5;2019-12-12;(329, 41, 39, 3, 5, '2019-12-12'),
330;58;40;1;17;2020-12-24;(330, 58, 40, 1, 17, '2020-12-24'),
331;75;33;3;10;2021-10-18;(331, 75, 33, 3, 10, '2021-10-18'),
